id_str,from_user,text,Hashtags,Target,time
515002560198230000,marindacos,"RT @Pepine: ""Là on touche à la modélisation, c'est-à-dire à comment vous voyez le monde"" dit le formateur. #InterrogationDe17h15 #websem14", #InterrogationDe17h15 #websem14,@Pepine,25/09/2014 05:59:13
515002560198230000,marindacos,"RT @Pepine: ""Là on touche à la modélisation, c'est-à-dire à comment vous voyez le monde"" dit le formateur. #InterrogationDe17h15 #websem14", #InterrogationDe17h15 #websem14,@Pepine,25/09/2014 05:59:13
514833771993248000,seeksanusername,Les effets de la sérialisation #RDF/XML et les requêtes #SPARQL dans l'envoie de #tweets ! ;-) #websem14 http://t.co/SbChv9gQ1j, #RDF #SPARQL #tweets #websem14 ,,24/09/2014 18:48:31
514833757418062000,Gambette38,"RT @Pepine: Cette requête SPARQL est une invitation ? 
SELECT * 
WHERE 
{
?piscine ?a ?cesoir.
}
#websem14", #websem14,@Pepine,24/09/2014 18:48:27
514828636315472000,PierreEdouard_B,@neuromancien Vos cours m'ont poussé à continuer : Master #archinfo à l'ENS et stage avec @lespetitescases chez @AntidotNet #websem14, #archinfo #websem14,@neuromancien @lespetitescases @AntidotNet,24/09/2014 18:28:06
514827474199675000,PierreEdouard_B,@lespetitescases Dommage de ne pas y assister. Pour info le Mashup créé (en cours de finalisation) est ici http://t.co/bgqp0tWe51 #websem14, #websem14,@lespetitescases,24/09/2014 18:23:29
514827474199675000,PierreEdouard_B,@lespetitescases Dommage de ne pas y assister. Pour info le Mashup créé (en cours de finalisation) est ici http://t.co/bgqp0tWe51 #websem14, #websem14,@lespetitescases,24/09/2014 18:23:29
514817149047955000,emma_morlock,#websem14 RT @Le_GFII: Web sémantique et modèle de données  autour du projet #data de  @ActuBnF http://t.co/F89cu2E4FT,#websem14 #data ,@Le_GFII @ActuBnF,24/09/2014 17:42:27
514815757805707000,mingarao,RT @spouyllau: Le secret dans le #websem14 c’est la glue ! http://t.co/qxFeQhJObO, #websem14 ,@spouyllau,24/09/2014 17:36:56
514815541484483000,spouyllau,Le secret dans le #websem14 c’est la glue ! http://t.co/qxFeQhJObO, #websem14 ,,24/09/2014 17:36:04
514815505501520000,sdjaloret,#websem14 Présentation du projet #musees en #France sur http://t.co/14KM2n7wtM ou l'exemple en matière d'agrégation de contenu via #RDF,#websem14 #musees #France #RDF,,24/09/2014 17:35:55
