id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_utc_offset,status_url,entities_str
515056832898138112,mingarao,#websem14 Nan mais là Twitter me bouffe un twitt sur deux #etCaMEnerve Dommage car conférence @jlminel très dense suscite débats importants,Thu Sep 25 08:34:52 +0000 2014,25/09/2014 09:34:52,,fr,,,370166662,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/467313383537004545/fFrZLyqt_normal.jpeg,90,486,,http://twitter.com/mingarao/statuses/515056832898138112,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""websem14"",""indices"":[0,9]},{""text"":""etCaMEnerve"",""indices"":[58,70]}],""user_mentions"":[{""id"":242681401,""name"":""Jean-Luc Minel"",""indices"":[94,102],""screen_name"":""jlminel"",""id_str"":""242681401""}]}"
515054582809255936,mingarao,#websem14 @jlminel et @lespetitescases pas d'accord sur l'enjeu #utilisabilité / #simplicité (apparemment...),Thu Sep 25 08:25:56 +0000 2014,25/09/2014 09:25:56,,fr,,,370166662,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/467313383537004545/fFrZLyqt_normal.jpeg,90,486,,http://twitter.com/mingarao/statuses/515054582809255936,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""websem14"",""indices"":[0,9]},{""text"":""utilisabilité"",""indices"":[64,78]},{""text"":""simplicité"",""indices"":[81,92]}],""user_mentions"":[{""id"":242681401,""name"":""Jean-Luc Minel"",""indices"":[10,18],""screen_name"":""jlminel"",""id_str"":""242681401""},{""id"":13810452,""name"":""Gautier Poupeau"",""indices"":[22,38],""screen_name"":""lespetitescases"",""id_str"":""13810452""}]}"
515054259260645376,mingarao,#websem14 selon les champs les risques ne sont pas les mêmes : #balkanisation ou au contraire #hégémonie @jlminel,Thu Sep 25 08:24:39 +0000 2014,25/09/2014 09:24:39,,fr,,,370166662,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/467313383537004545/fFrZLyqt_normal.jpeg,90,486,,http://twitter.com/mingarao/statuses/515054259260645376,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""websem14"",""indices"":[0,9]},{""text"":""balkanisation"",""indices"":[63,77]},{""text"":""hégémonie"",""indices"":[94,104]}],""user_mentions"":[{""id"":242681401,""name"":""Jean-Luc Minel"",""indices"":[105,113],""screen_name"":""jlminel"",""id_str"":""242681401""}]}"
515054259260645376,mingarao,#websem14 selon les champs les risques ne sont pas les mêmes : #balkanisation ou au contraire #hégémonie @jlminel,Thu Sep 25 08:24:39 +0000 2014,25/09/2014 09:24:39,,fr,,,370166662,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/467313383537004545/fFrZLyqt_normal.jpeg,90,486,,http://twitter.com/mingarao/statuses/515054259260645376,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""websem14"",""indices"":[0,9]},{""text"":""balkanisation"",""indices"":[63,77]},{""text"":""hégémonie"",""indices"":[94,104]}],""user_mentions"":[{""id"":242681401,""name"":""Jean-Luc Minel"",""indices"":[105,113],""screen_name"":""jlminel"",""id_str"":""242681401""}]}"
515052623079407617,neuromancien,"ça va être l'heure du départ pour moi, je quitte Fréjus mais je ne parle pas encore couramment le sparql #websem14",Thu Sep 25 08:18:09 +0000 2014,25/09/2014 09:18:09,,fr,,,8099802,,"<a href=""https://chrome.google.com/webstore/detail/kagejfgngcmkbaacpmcnbpkhmhoeccee"" rel=""nofollow"">Silver Bird Plus</a>",http://pbs.twimg.com/profile_images/2511681904/hptgx38btngxulvjdy8s_normal.jpeg,4848,1854,7200,http://twitter.com/neuromancien/statuses/515052623079407617,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""websem14"",""indices"":[105,114]}],""user_mentions"":[]}"
515049593982435329,spouyllau,"Le projet POWLA : ontologie [très] générique pour la linguistique : 50 classes, 29 propriétés #websem14",Thu Sep 25 08:06:07 +0000 2014,25/09/2014 09:06:07,,fr,,,22467215,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",http://pbs.twimg.com/profile_images/440479687274274816/u-6L9OYm_normal.jpeg,1126,325,7200,http://twitter.com/spouyllau/statuses/515049593982435329,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""websem14"",""indices"":[94,103]}],""user_mentions"":[]}"
515049527578214400,seeksanusername,"""Le #RDF, c'est le #GRAAL pour les linguistes: pouvoir parcourir un graphe"" #websem14",Thu Sep 25 08:05:51 +0000 2014,25/09/2014 09:05:51,,fr,,,119048849,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",http://pbs.twimg.com/profile_images/477509163392581633/VNr8MuUZ_normal.jpeg,1152,598,10800,http://twitter.com/seeksanusername/statuses/515049527578214400,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""RDF"",""indices"":[4,8]},{""text"":""GRAAL"",""indices"":[19,25]},{""text"":""websem14"",""indices"":[76,85]}],""user_mentions"":[]}"
515047350352748544,spouyllau,@jlminel analyse le projet #WordNet : de l’ASCII au websem #websem14,Thu Sep 25 07:57:12 +0000 2014,25/09/2014 08:57:12,,fr,242681401,jlminel,22467215,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",http://pbs.twimg.com/profile_images/440479687274274816/u-6L9OYm_normal.jpeg,1126,325,7200,http://twitter.com/spouyllau/statuses/515047350352748544,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""WordNet"",""indices"":[27,35]},{""text"":""websem14"",""indices"":[59,68]}],""user_mentions"":[{""id"":242681401,""name"":""Jean-Luc Minel"",""indices"":[0,8],""screen_name"":""jlminel"",""id_str"":""242681401""}]}"
515047264088522752,mingarao,"RT @Pepine: ""Tu confonds les sous-classes des ontologies avec les sous-classes d'objet ? Non mais allo quoi. "" #websem14",Thu Sep 25 07:56:51 +0000 2014,25/09/2014 08:56:51,,fr,,,370166662,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/467313383537004545/fFrZLyqt_normal.jpeg,90,486,,http://twitter.com/mingarao/statuses/515047264088522752,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""websem14"",""indices"":[111,120]}],""user_mentions"":[{""id"":42386575,""name"":""Delphine Cavallo"",""indices"":[3,10],""screen_name"":""Pepine"",""id_str"":""42386575""}]}"
515047158463361024,mingarao,#websem14 @jlminel Web Sem très prometteur mais tant de métiers y convergent aujourd'hui que #pagaille totale dans le vocabulaire actuellemt,Thu Sep 25 07:56:26 +0000 2014,25/09/2014 08:56:26,,fr,,,370166662,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/467313383537004545/fFrZLyqt_normal.jpeg,90,486,,http://twitter.com/mingarao/statuses/515047158463361024,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""websem14"",""indices"":[0,9]},{""text"":""pagaille"",""indices"":[93,102]}],""user_mentions"":[{""id"":242681401,""name"":""Jean-Luc Minel"",""indices"":[10,18],""screen_name"":""jlminel"",""id_str"":""242681401""}]}"
